node_1,node_2,edge,weight,chunk_id,source
松材线虫,泰山风景区,风险分析与评估,0.8,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_6,llm
美国白蛾,泰山风景区,风险分析与评估,0.8,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_6,llm
松材线虫,泰山风景区,入侵,0.8,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_7,llm
bursaphelenchus xylophilus,马尾松,感染,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_8,llm
monochamus alternatus,bursaphelenchus xylophilus,传播,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_8,llm
温度,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_8,llm
湿度,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_8,llm
降水,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_8,llm
风速,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_8,llm
松材线虫,马尾松,感染,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
bursaphelenchus xylophilus,马尾松,寄生于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
温度,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
湿度,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
降水,松材线虫病,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
风速,松褐天牛,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
松褐天牛,bursaphelenchus xylophilus,传播,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
monochamus alternatus,bursaphelenchus xylophilus,传播,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
江西,松材线虫病,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
全南县,松材线虫病,发生于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
德兴市,松材线虫病,发生于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_9,llm
松材线虫,最高气温,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
松材线虫,平均气温,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
松材线虫,降水量,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
最高气温,全南县,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
平均气温,全南县,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
降水量,全南县,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
最高气温,德兴市,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
平均气温,德兴市,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
降水量,德兴市,分布于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_10,llm
松材线虫病,温度,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_11,llm
松材线虫病,湿度,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_11,llm
松材线虫病,降水,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_11,llm
松材线虫病,相对湿度,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_11,llm
松材线虫病,风速,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_11,llm
松材线虫,马尾松,感染,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
松褐天牛,松材线虫,传播,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
风速,松墨天牛,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
气温,松材线虫,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
湿度,松材线虫,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
降水,松材线虫,影响,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
全南县,松材线虫,发生于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
德兴市,松材线虫,发生于,0.8,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf_12,llm
松材线虫病,内蒙古东部林区,影响,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_13,llm
松材线虫病,樟子松,感染,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_13,llm
松材线虫病,松褐天牛,传播,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_13,llm
内蒙古东部林区,北方生态安全屏障,维护,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_13,llm
松材线虫病,内蒙古东部林区,影响,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
松材线虫病,木材产业,影响,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
松材线虫病,松褐天牛,传播,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
检疫,松材线虫病,防治,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
监测,松材线虫病,防治,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
处置,松材线虫病,防治,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
抚育,松材线虫病,防治,0.8,内蒙古东部林区松材线虫病危害及防治策略_王伟.pdf_14,llm
松材线虫,马尾松,寄生,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_15,llm
松墨天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_15,llm
褐梗天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_15,llm
松材线虫,黑松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_16,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_16,llm
松褐天牛,黑松,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_16,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_17,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_17,llm
松材线虫,细胞色素c血红素裂合酶基因(hccs),寄生,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_17,llm
脂肪酸分解代谢水平,松材线虫,影响,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_17,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
云杉花墨天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
monochamus alternatus,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
aromia bungii,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
acanthocenus griseus,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
arhopalus rusticus,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
monochamus nigromaculatus,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
monochamus saltuarius,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
uraecha angusta,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
semanotus sinoauster,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_18,llm
monochamus alternatus,马尾松,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_19,llm
arhopalus rusticus,monochamus alternatus,寄生,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_19,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_20,llm
a. rusticus,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_20,llm
云杉花墨天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_20,llm
松材线虫,马尾松,寄生,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_21,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_21,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_22,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_22,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_23,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_23,llm
松材线虫,马尾松,寄生于,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_24,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_24,llm
伴生细菌,松材线虫,寄生,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_24,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_25,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_25,llm
松材线虫,氧气,获取,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_25,llm
松褐天牛,呼吸作用,引起,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_25,llm
氧化磷酸化,磷脂代谢,促进,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_25,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_26,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_26,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_27,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_27,llm
松材线虫,马尾松,感染,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_28,llm
松褐天牛,松材线虫,传播,0.8,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf_28,llm
气候变化,松材线虫病,影响,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_29,llm
松材线虫病,马尾松,感染,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_29,llm
松褐天牛,松材线虫病,传播,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_29,llm
温度,松材线虫,影响,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_29,llm
降水,松材线虫,影响,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_29,llm
松材线虫病,温湿度,影响,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_30,llm
疫情发生,温湿度,受制于,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_30,llm
松墨天牛,松材线虫病,传播,0.8,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf_30,llm
松材线虫病外部症状表现与病害治疗效果的关系,松材线虫,研究对象,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_31,llm
松材线虫病外部症状表现与病害治疗效果的关系,马尾松、黑松、20年生自然感病松树,研究对象,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_31,llm
松材线虫,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_31,llm
注药治疗技术,松材线虫病,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_31,llm
bursaphelenchus xylophilus,pinus massoniana,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_32,llm
bursaphelenchus xylophilus,pinus thunbergii,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_32,llm
monochamus alternatus,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_32,llm
松材线虫,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
松材线虫,黑松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
松材线虫,湿地松,寄生,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
松材线虫,赤松,寄生,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
bursaphelenchus xylophilus,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
bursaphelenchus xylophilus,黑松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
伴生细菌,松材线虫,寄生,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
松褐天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
云杉花墨天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
monochamus alternatus,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
萎蔫,松材线虫,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
针叶变色,松材线虫,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
树脂分泌异常,松材线虫,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
枯死,松材线虫,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
阿维菌素,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
噻虫啉,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
诱捕器,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
生物防治,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
温度,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
湿度,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
降水,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
海拔,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
疫区,松材线虫,分布,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_33,llm
松材线虫,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
松褐天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
松材线虫,黑松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
甲维盐乳油剂,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
甲维盐可溶性液剂,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
注药防治试验,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
截枝套管法,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
自流式注干法,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
直接注入法,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_34,llm
松材线虫,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_35,llm
无症状期,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_35,llm
早期,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_35,llm
中晚期,松材线虫,影响,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_35,llm
松材线虫,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_36,llm
松褐天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_36,llm
松材线虫,黑松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_37,llm
松褐天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_37,llm
松材线虫,20年生黑松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_38,llm
阿维菌素,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_38,llm
噻虫啉,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_38,llm
松褐天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_38,llm
注射疗法,松材线虫,防治,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_38,llm
松材线虫,统性导管栓塞,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_39,llm
药液,统性导管栓塞,导致,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_39,llm
松材线虫,黑松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松材线虫,马尾松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松材线虫,湿地松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松材线虫,赤松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松材线虫,云南松,感染,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松褐天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
云杉花墨天牛,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
monochamus alternatus,松材线虫,传播,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松材线虫病,萎蔫,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
松材线虫病,针叶变色,引起,0.8,松材线虫病外部症状表现与病害治疗效果的关系_程浩.pdf_40,llm
